 -0.8303285E-15  0.2052863E-15  0.2273674E-15  0.2343551E-15  0.2560130E-15
  0.2653860E-15  0.2869613E-15  0.2992528E-15  0.3205040E-15  0.3363236E-15
  0.3569474E-15  0.3769869E-15  0.3966168E-15  0.4216552E-15  0.4398577E-15
  0.4707662E-15  0.4870348E-15  0.5247809E-15  0.5385278E-15  0.5841790E-15
  0.5947244E-15  0.6494517E-15  0.6560080E-15  0.7210888E-15  0.7227416E-15
  0.7952457E-15  0.8001595E-15  0.8737716E-15  0.8868554E-15  0.9584716E-15
  0.9813150E-15  0.1049369E-14  0.1083813E-14  0.1146330E-14  0.1194495E-14
  0.1249051E-14  0.1313347E-14  0.1357050E-14  0.1440181E-14  0.1469685E-14
  0.1574621E-14  0.1586184E-14  0.1705690E-14  0.1717080E-14  0.1827313E-14
  0.1867134E-14  0.1950172E-14  0.2022783E-14  0.2073350E-14  0.2183093E-14
  0.2195863E-14  0.2213258E-14  0.2260985E-14  0.2323444E-14  0.2348568E-14
  0.2386045E-14  0.2410895E-14  0.2448457E-14  0.2508355E-14  0.2518652E-14
  0.2569671E-14  0.2629641E-14  0.2687257E-14  0.2693100E-14  0.2717326E-14
  0.2745823E-14  0.2787170E-14  0.2803655E-14  0.2859289E-14  0.2879562E-14
  0.2913466E-14  0.2969468E-14  0.2974804E-14  0.3012372E-14  0.3012391E-14
  0.3023423E-14  0.3069520E-14  0.3075430E-14  0.3125839E-14  0.3164942E-14
  0.3178392E-14  0.3229102E-14  0.3262185E-14  0.3278039E-14  0.3325263E-14
  0.3356791E-14  0.3371894E-14  0.3419642E-14  0.3456651E-14  0.3465703E-14
  0.3510129E-14  0.3552971E-14  0.3554040E-14  0.3594277E-14  0.3635768E-14
  0.3651876E-14  0.3677438E-14  0.3717596E-14  0.3752315E-14  0.3756293E-14
  0.3793580E-14  0.3829508E-14  0.3850282E-14  0.3864128E-14  0.3897902E-14
  0.3932807E-14  0.3950433E-14  0.3966458E-14  0.3998912E-14  0.4030221E-14
  0.4051761E-14  0.4060442E-14  0.4089629E-14  0.4117833E-14  0.4117833E-14
  0.4146253E-14  0.4150756E-14  0.4175274E-14  0.4205819E-14  0.4238739E-14
  0.4252101E-14  0.4272437E-14  0.4306955E-14  0.4342338E-14  0.4355096E-14
  0.4378627E-14  0.4415865E-14  0.4454099E-14  0.4456255E-14  0.4493372E-14
  0.4534722E-14  0.4558631E-14  0.4579727E-14  0.4626025E-14  0.4664979E-14
  0.4673671E-14  0.4722733E-14  0.4769898E-14  0.4773277E-14  0.4825378E-14
  0.4873528E-14  0.4879276E-14  0.4939393E-14  0.4984272E-14  0.5001485E-14
  0.5065667E-14  0.5094166E-14  0.5132067E-14  0.5200826E-14  0.5202997E-14
  0.5272926E-14  0.5314889E-14  0.5353050E-14  0.5430709E-14  0.5436305E-14
  0.5522924E-14  0.5545588E-14  0.5613145E-14  0.5659568E-14  0.5709502E-14
  0.5780372E-14  0.5815655E-14  0.5901857E-14  0.5926302E-14  0.6022400E-14
  0.6041415E-14  0.6142907E-14  0.6163107E-14  0.6271133E-14  0.6295436E-14
  0.6398201E-14  0.6428454E-14  0.6524031E-14  0.6554995E-14  0.6618624E-14
  0.2195863E-14  0.2195863E-14  0.2195863E-14  0.2195863E-14  0.2195863E-14
  0.2195863E-14  0.2195863E-14  0.2195863E-14  0.2195863E-14  0.2195863E-14
  0.2195863E-14  0.2195863E-14  0.2195863E-14  0.2195863E-14  0.2195863E-14
  0.2195863E-14  0.2195863E-14  0.2195863E-14  0.2195863E-14  0.2195863E-14
  0.2195863E-14  0.2195863E-14  0.2195863E-14  0.2195863E-14  0.2195863E-14
  0.2195863E-14  0.2195863E-14  0.2195863E-14  0.2195863E-14  0.2195863E-14
