 0.1440412E-17 0.1482927E-17 0.1526847E-17 0.1572225E-17 0.1619120E-17
 0.1667589E-17 0.1717696E-17 0.1769504E-17 0.1823081E-17 0.1878500E-17
 0.1935835E-17 0.1995163E-17 0.2056568E-17 0.2120135E-17 0.2185955E-17
 0.2254124E-17 0.2324743E-17 0.2397915E-17 0.2473753E-17 0.2552372E-17
 0.2633897E-17 0.2718456E-17 0.2806189E-17 0.2897237E-17 0.2991754E-17
 0.3089898E-17 0.3191845E-17 0.3297771E-17 0.3407870E-17 0.3522339E-17
 0.3641396E-17 0.3765265E-17 0.3894189E-17 0.4028421E-17 0.4168236E-17
 0.4313918E-17 0.4465777E-17 0.4624141E-17 0.4789358E-17 0.4961797E-17
 0.5141856E-17 0.5329959E-17 0.5526557E-17 0.5732135E-17 0.5947212E-17
 0.6172345E-17 0.6408124E-17 0.6655196E-17 0.6914242E-17 0.7186002E-17
 0.7471271E-17 0.7770907E-17 0.8085834E-17 0.8417047E-17 0.8765626E-17
 0.9132734E-17 0.9519635E-17 0.9927693E-17 0.1035840E-16 0.1081336E-16
 0.1129433E-16 0.1180322E-16 0.1234210E-16 0.1291325E-16 0.1351916E-16
 0.1416252E-16 0.1484632E-16 0.1557380E-16 0.1634855E-16 0.1717449E-16
 0.1805596E-16 0.1899771E-16 0.2000501E-16 0.2108367E-16 0.2224011E-16
 0.2348146E-16 0.2481563E-16 0.2625136E-16 0.2779843E-16 0.2946768E-16
 0.3127124E-16 0.3322261E-16 0.3533689E-16 0.3763101E-16 0.4012388E-16
 0.4283674E-16 0.4579346E-16 0.4902080E-16 0.5254895E-16 0.5641185E-16
 0.6064775E-16 0.6530001E-16 0.7041700E-16 0.7605378E-16 0.8227251E-16
 0.8914339E-16 0.9674575E-16 0.1051686E-15 0.1048564E-15 0.9960084E-16
 0.9426370E-16 0.9549729E-16 0.1041263E-15 0.1137213E-15 0.1244032E-15
 0.1352981E-15 0.1495852E-15 0.1644080E-15 0.1809673E-15 0.1994759E-15
 0.2201720E-15 0.2433211E-15 0.2692140E-15 0.2981761E-15 0.3305628E-15
 0.3667613E-15 0.4071965E-15 0.4523275E-15 0.5026517E-15 0.5587007E-15
 0.6210470E-15 0.6902909E-15 0.7670739E-15 0.8520668E-15 0.9459662E-15
 0.1049497E-14 0.1163417E-14 0.1288484E-14 0.1425490E-14 0.1575230E-14
 0.1738503E-14 0.1916125E-14 0.2108900E-14 0.2317632E-14 0.2543114E-14
 0.2786147E-14 0.3047502E-14 0.3327949E-14 0.3628228E-14 0.3949089E-14
 0.4291256E-14 0.4655419E-14 0.5042291E-14 0.5452529E-14 0.5886819E-14
 0.6345800E-14 0.6830125E-14 0.7340435E-14 0.7877352E-14 0.8441488E-14
 0.9033496E-14 0.9653967E-14 0.1030355E-13 0.1098285E-13 0.1169252E-13
