  0.4218927E+01  0.4139370E+01  0.3836550E+01  0.3758054E+01  0.3003155E+01
  0.2917887E+01  0.2399468E+01  0.2309403E+01  0.1946009E+01  0.1852820E+01
  0.1595842E+01  0.1566462E+01  0.1499854E+01  0.1470958E+01  0.1319499E+01
  0.1224077E+01  0.1097580E+01  0.1002644E+01  0.9168147E+00  0.8232176E+00
  0.7678359E+00  0.6763036E+00  0.6438578E+00  0.5550098E+00  0.5398532E+00
  0.4542207E+00  0.4520269E+00  0.3774662E+00  0.3707896E+00  0.3139036E+00
  0.3009943E+00  0.2595527E+00  0.2423599E+00  0.2129907E+00  0.1930952E+00
  0.1730748E+00  0.1517671E+00  0.1388804E+00  0.1172184E+00  0.1096558E+00
  0.8850733E-01  0.8478810E-01  0.6486281E-01  0.6377779E-01  0.4622006E-01
  0.4574482E-01  0.3179087E-01  0.3062364E-01  0.2023745E-01  0.1891621E-01
  0.1137250E-01  0.1027281E-01  0.5072047E-02  0.4406654E-02  0.1277554E-02
  0.1085817E-02  0.1904535E-21  0.6817478E-04  0.8368649E-04  0.1017027E-03
  0.2036565E-03  0.2296843E-03  0.2297142E-03  0.3058764E-03  0.4083773E-03
  0.5111779E-03  0.7567745E-03  0.1064876E-02  0.1374016E-02  0.1507078E-02
  0.1684246E-02  0.1995621E-02  0.2406602E-02  0.2925152E-02  0.3445862E-02
  0.3968825E-02  0.4494140E-02  0.4997599E-02  0.5097684E-02  0.5437746E-02
  0.5654118E-02  0.5833153E-02  0.6311725E-02  0.6479521E-02  0.6479706E-02
  0.6572281E-02  0.6970484E-02  0.7315204E-02  0.7630481E-02  0.8062057E-02
  0.8291794E-02  0.8890967E-02  0.9071092E-02  0.9852133E-02  0.9916515E-02
  0.1076393E-01  0.1081884E-01  0.1161346E-01  0.1179125E-01  0.1231636E-01
  0.1246524E-01  0.1276956E-01  0.1333636E-01  0.1386184E-01  0.1437223E-01
  0.1505973E-01  0.1541128E-01  0.1626535E-01  0.1645363E-01  0.1747886E-01
  0.1749948E-01  0.1854898E-01  0.1870003E-01  0.1971486E-01  0.2009513E-01
  0.2095054E-01  0.2153496E-01  0.2219114E-01  0.2297611E-01  0.2343686E-01
  0.2441335E-01  0.2468795E-01  0.2587477E-01  0.2599406E-01  0.2743386E-01
  0.2748073E-01  0.2888061E-01  0.2905557E-01  0.2966122E-01  0.3033460E-01
  0.3058883E-01  0.3179611E-01  0.3207114E-01  0.3327507E-01  0.3353295E-01
  0.3492926E-01  0.3506085E-01  0.3506085E-01  0.3659492E-01  0.3828409E-01
  0.4001094E-01  0.4179981E-01  0.4383394E-01  0.4595486E-01  0.4817775E-01
  0.5051692E-01  0.5315793E-01  0.5599144E-01  0.5895253E-01  0.6205063E-01
  0.6533323E-01  0.6559601E-01  0.6586030E-01  0.6612602E-01  0.6639318E-01
  0.6666178E-01  0.6693184E-01  0.6720337E-01  0.6747638E-01  0.6775091E-01
  0.6802693E-01  0.6830448E-01  0.6858356E-01  0.6886420E-01  0.6914640E-01
  0.6943016E-01  0.6971553E-01  0.6984806E-01  0.7000251E-01  0.7029110E-01
